item_code,item_name,sale_rate,purchase_rate,total_per_margin,store_per,sukhjeet_per
8906030292212,GINGER GARLIC PASTE 200GM,43,32,25.58139535,12,13.58139535
8906032010296,Maha Kosh Refiend 1ltr,90,74,17.77777778,10,7.777777778
8906035050527,Neha Mehndi,9,4.5,50,25,25
8906039950625,DARLING SECRET 830GM,158,130,17.72151899,10,7.721518987
8908001158244,FOGG NPLN F BDY SPRY 120ML,190,155,18.42105263,10,8.421052632
8908001158305,FOG MARCO F B SPRY 120ML,190,155,18.42105263,10,8.421052632
8908001158350,FOGG PARADISE 120ML,190,155,18.42105263,10,8.421052632
8908004322093,Harty bite,130,105,19.23076923,10,9.230769231
Aalsi,Aalsi,110,94,14.54545455,8,6.545454545
Ajanta Bright Green 100gm,Ajanta Bright Green 100gm,35,19.5,44.28571429,20,24.28571429
Ajanta Green 10g,Ajanta Green 10g,6,3.5,41.66666667,20,21.66666667
Ajanta Lemon Yello 100g,Ajanta Lemon Yello 100g,33,19.5,40.90909091,20,20.90909091
Ajanta Orange Red 100g,Ajanta Orange Red 100g,33,19.5,40.90909091,20,20.90909091
Ajanta Red 10g,Ajanta Red 10g,6,3.5,41.66666667,20,21.66666667
Ajwain 100gm,Ajwain 100gm,25,22,12,6,6
Arara Powder 900g,Arara Powder 900g,45,30,33.33333333,15,18.33333333
Atta Chan-ni,Atta Chan-ni,18.5,15.53,16.05405405,10,6.054054054
Beater,Beater,45,28,37.77777778,15,22.77777778
Black Salt 100gm,Black Salt 100gm,9,5.5,38.88888889,15,23.88888889
Black Salt Dali,Black Salt Dali,20,12,40,20,20
BOONDI PUDIANA 140GM,BOONDI PUDIANA 280GM,20,16.6,17,10,7
Broom Plastic,Broom Plastic,55,48,12.72727273,7,5.727272727
Broom Steel,Broom Steel,60,40,33.33333333,15,18.33333333
brush plastic,brush plastic,23,15,34.7826087,15,19.7826087
C/N Tender,C/N Tender,135,105,22.22222222,12,10.22222222
Candles Big,Candles Big,90,78,13.33333333,7,6.333333333
Candles Medium,Candles Medium,48,38,20.83333333,10,10.83333333
Candles Small,Candles Small,18,14.5,19.44444444,10,9.444444444
Chakki Atta 10kg,Chakki Atta 10kg,220,192,12.72727273,7,5.727272727
Channa Daal,Channa Daal,145,113,22.06896552,10,12.06896552
Channa Dal,Channa dal,145,131,9.655172414,5,4.655172414
Chilli Cutter Senso,Chilli Cutter Senso,75,48,36,15,21
